Key;Date;Volume;Disc;max_T;min_T;avg_T;precipitation;Consumer_Price_Index_month;Exchange_Rate_Index_Period_Average_month;Exchange_Rate_LCU_per_US_Period_Average_month;Industrial_Production_Index_month;Wholesale_Producer_Price_Index_LCU_basus_month;Nominal_Consumption_Total_lcu_quarter;Nominal_Consumption_Total_US_quarter;Nominal_GDP_lcu_quarter;Nominal_GDP_US_quarter;Nominal_Private_Consumption_lcu_quarter;Nominal_Private_Consumption_US_quarter;Real_Consumption_Total_lcu_quarter;Real_Consumption_Total_US_quarter;Real_GDP_lcu_quarter;Real_GDP_US_quarter;Real_Private_Consumption_lcu_quarter;Real_Private_Consumption_US_quarter;Unemployment_Rate_quarter;Disposable_Personal_Income_lcu_annual;Disposable_personal_income_real_lcu_annual;Disposable_Personal_Income_US_annual;Employment_Total_annual;Index_Unit_Labor_Costs_LCU_basis_annual;Index_Unit_Labor_Costs_US_basis_annual;Index_wages_straight_time_LCU_basis_annual;Index_wages_straight_time_US_basis_annual;Nominal_GDP_per_employee_annual;Nominal_Consumption_Per_Capita_US_annual;Nominal_GDP_Per_Capita_lcu_annual;Nominal_Indirect_Taxes_Minus_Subsidies_lcu_annual;Nominal_Indirect_Taxes_Minus_Subsidies_US_annual;Number_of_households_annual;Participation_Rate_annual;Population_Age_Bracket_15_64_annual;Population_Total_annual;Population_Urban_annual;Price_of_Crude_Oil_LCU_basis_annual;Real_GDP_Per_Capita_lcu_annual;Real_Indirect_Taxes_Minus_Subsidies_lcu_annual;Real_Price_of_Crude_Oil_LCU_basis_annual;Real_Price_of_Crude_Oil_US_basis_annual;Share_of_Population_Urban_annual;Tax_Rate_Overall_Taxes_annual;Tax_Rate_Personal_Income_Taxes_annual;Terms_of_Trade_annual;Unemployment_annual;Wages_and_Salaries_Gross_lcu_annual;Wages_and_Salaries_Gross_US_annual;Working_Age_Population_annual;Index_Retail_Sales_Real_month;Real_GDP_at_Factor_Cost_Services_lcu_annual;PMI;Inflation_Rate;Selling_days_ratio;Selling_days;Selling_days_Quarter;Selling_days_Half;Selling_days_9;Selling_days_17;Holidays;Holidays_9;Holidays_17;Sales_Package;Marketing_Package;Month;Month1;Month2;Month3;Month4;Month5;Month6;Month7;Month8;Month9;Month10;Month11;Month12;Growth_rate
H;01/05/2015;407394,2303;68768617,26;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
B;01/05/2015;825798,5171;131594852,4;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
C;01/05/2015;1447323,553;120292402,6;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
D;01/05/2015;436667,0618;61051745,41;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
E;01/05/2015;42928,078;6604733,945;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
J;01/05/2015;7,488;22779,05;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
F;01/05/2015;1502251,718;86008804,37;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
G;01/05/2015;946044,294;-17106235,34;79,25215415;61,42087326;70,33521706;5,915734791;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,2;0,806451613;25;73;143;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
A;01/06/2015;1769400,25;475155843;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
I;01/06/2015;347603,3272;30341123,92;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
H;01/06/2015;426876,7607;59901154,4;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
B;01/06/2015;890423,0059;145037613,9;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
C;01/06/2015;1520061,771;128610095,9;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
D;01/06/2015;479738,0732;61647290,84;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
E;01/06/2015;41879,512;5620435,271;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
J;01/06/2015;355,054;162704,7637;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
F;01/06/2015;1682692,493;120112303,6;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
G;01/06/2015;1179209,367;-39188672,31;84,35045401;68,51500806;76,43140338;6,872861382;85,4585;108,6444;6,8277;58,7934;103,0408;35862,5888;5780,5619;68457,4914;11034,4172;26330,2084;4244,0717;29873,6112;5704,4099;59821,1008;10872,6401;21934,5458;4188,4337;3,2168;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50,2;1,4;0,8;24;73;143;24;24;6;6;6;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
A;01/07/2015;1785115,571;500732057,8;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
I;01/07/2015;260847,2152;29682398,18;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
H;01/07/2015;488829,2318;75849608,45;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
B;01/07/2015;915785,0744;145872934,4;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
C;01/07/2015;1674342,238;142872678,9;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
D;01/07/2015;510092,5406;77859714,41;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
E;01/07/2015;33500,827;8826107,659;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
J;01/07/2015;1365,248;939114,2384;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
F;01/07/2015;1731877,996;101420603,5;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
G;01/07/2015;1298965,539;-47670670,76;87,13814155;71,21795679;79,1764313;6,349209674;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;50;1,6;0,870967742;27;79;152;27;27;4;4;4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0
A;01/08/2015;1734861,135;490150897,7;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
I;01/08/2015;273649,1857;28602227,16;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
H;01/08/2015;466409,9638;83926270,99;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
B;01/08/2015;873802,4516;148897969,9;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
C;01/08/2015;1581172,776;142281995;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
D;01/08/2015;461139,0069;66371018,46;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
E;01/08/2015;24294,18;6386826,3;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
J;01/08/2015;631,764;274776,0548;86,96373967;70,95471188;78,95753878;6,197718057;85,4585;108,6444;6,8277;58,7934;103,0408;36745,1787;5827,4888;69580,9799;11034,9819;26947,9792;4273,732;30502,7217;5824,5395;60832,1765;11056,4057;22369,2803;4271,4469;3,3336;31194,8279;25995,0882;4963,8008;774,51;100;100;100;100;14152,5453;3008,3873;48964,6546;0;0;439,275;0,708;1021,5732;1406,8479;780,8006;331,0377;42868,0602;0;289,8202;52,6756;55,5;17,2417;0,1371;100;26,4;63241;10063,0696;1021,5732;55,4772;27475,3197;49,7;2;0,838709677;26;79;152;26;26;5;5;5;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0
