,lottery,date_occured,ball_01,ball_02,ball_03,ball_04,ball_05,ball_06,
117,2104.0,2018-12-06,12,45,10,56,2,27,
118,2103.0,2018-12-04,13,40,50,46,3,44,
119,2102.0,2018-12-01,6,4,17,57,34,51,
120,2101.0,2018-11-28,58,56,18,8,2,37,
121,2100.0,2018-11-24,1,35,13,11,10,49,
122,2099.0,2018-11-21,30,15,5,58,20,27,
123,2098.0,2018-11-17,2,38,27,60,18,8,
124,2097.0,2018-11-14,51,28,24,49,9,45,
125,2096.0,2018-11-10,11,51,6,24,13,19,
126,2095.0,2018-11-07,49,29,56,43,35,16,
127,2094.0,2018-11-03,4,33,16,44,19,31,
128,2093.0,2018-10-31,54,34,52,8,14,27,
129,2092.0,2018-10-27,13,17,27,11,15,22,
130,2091.0,2018-10-25,12,11,10,59,38,37,
131,2090.0,2018-10-23,11,8,18,40,37,51,
132,2089.0,2018-10-20,38,48,5,49,10,32,
133,2088.0,2018-10-17,24,3,27,38,14,56,
134,2087.0,2018-10-13,19,18,53,34,2,23,
135,2086.0,2018-10-10,4,53,35,43,47,46,
136,2085.0,2018-10-06,25,49,12,21,38,37,
137,2084.0,2018-10-03,20,37,26,7,39,38,
138,2083.0,2018-09-29,56,33,1,19,18,60,
139,2082.0,2018-09-26,25,33,42,49,6,48,
140,2081.0,2018-09-22,40,42,13,18,35,41,
141,2080.0,2018-09-20,58,55,46,22,40,10,
142,2079.0,2018-09-18,55,37,58,14,2,1,
143,2078.0,2018-09-15,30,36,2,11,39,15,
144,2077.0,2018-09-12,37,13,16,26,39,35,
145,2076.0,2018-09-08,6,15,43,5,12,22,
146,2075.0,2018-09-05,7,9,23,33,57,59,
147,2074.0,2018-09-01,42,8,18,37,58,23,
148,2073.0,2018-08-29,55,12,15,30,52,18,
149,2072.0,2018-08-25,22,13,10,20,12,54,
150,2071.0,2018-08-22,35,46,34,60,24,33,
151,2070.0,2018-08-18,5,26,42,27,48,34,
152,2069.0,2018-08-16,40,3,48,17,34,35,
153,2068.0,2018-08-14,5,47,40,9,42,3,
154,2067.0,2018-08-11,59,2,11,32,26,13,
155,2066.0,2018-08-08,27,55,35,6,25,45,
156,2065.0,2018-08-04,4,11,43,20,30,37,
157,2064.0,2018-08-01,55,53,14,10,36,60,
158,2063.0,2018-07-28,10,19,29,24,6,25,
159,2062.0,2018-07-25,8,15,34,25,10,23,
160,2061.0,2018-07-21,33,45,44,40,36,54,
161,2060.0,2018-07-18,11,39,41,9,25,8,
162,2059.0,2018-07-14,5,4,36,56,40,44,
163,2058.0,2018-07-11,19,4,23,29,59,56,
164,2057.0,2018-07-07,37,38,20,13,10,54,
165,2056.0,2018-07-05,29,47,22,36,34,18,
166,2055.0,2018-07-03,53,43,46,25,35,6,
167,2054.0,2018-06-30,39,4,7,12,26,22,
168,2053.0,2018-06-27,12,27,40,37,22,55,
169,2052.0,2018-06-23,57,50,56,51,58,59,
170,2051.0,2018-06-20,37,5,44,1,53,6,
171,2050.0,2018-06-16,33,50,38,32,8,31,
172,2049.0,2018-06-13,19,10,27,31,51,53,
173,2048.0,2018-06-09,10,39,38,35,26,19,
174,2047.0,2018-06-06,18,19,44,54,1,29,
175,2046.0,2018-06-02,27,11,6,28,46,3,
176,2045.0,2018-05-30,27,46,15,25,50,45,
177,2044.0,2018-05-26,14,7,60,54,47,56,
178,2043.0,2018-05-23,53,58,21,38,57,56,
179,2042.0,2018-05-19,33,32,22,29,35,14,
180,2041.0,2018-05-16,10,12,54,42,22,25,
181,2040.0,2018-05-12,56,58,54,6,41,9,
182,2039.0,2018-05-10,28,22,6,31,44,12,
183,2038.0,2018-05-08,26,35,40,25,6,38,
184,2037.0,2018-05-05,60,30,14,45,23,16,
185,2036.0,2018-05-02,23,58,8,19,27,7,
186,2035.0,2018-04-28,52,35,49,30,38,36,
187,2034.0,2018-04-25,7,56,22,13,6,17,
188,2033.0,2018-04-20,40,10,18,33,38,43,
189,2032.0,2018-04-17,19,39,20,53,14,6,
190,2031.0,2018-04-14,23,39,18,55,50,37,
191,2030.0,2018-04-11,38,4,58,40,27,59,
192,2029.0,2018-04-07,15,37,18,33,40,6,
193,2028.0,2018-04-04,7,42,58,36,24,11,
194,2027.0,2018-03-31,11,15,39,37,29,44,
195,2026.0,2018-03-28,51,33,23,52,31,10,
196,2025.0,2018-03-24,52,56,4,24,46,55,
197,2024.0,2018-03-21,29,16,20,35,47,23,
198,2023.0,2018-03-17,23,56,8,7,1,6,
199,2022.0,2018-03-14,28,60,52,45,4,48,
200,2021.0,2018-03-10,32,37,40,60,7,14,
201,2020.0,2018-03-07,2,46,57,60,48,36,
202,2019.0,2018-03-03,41,46,54,59,23,52,
203,2018.0,2018-02-28,55,11,27,22,25,59,
204,2017.0,2018-02-24,56,10,11,2,38,24,
205,2016.0,2018-02-21,11,17,48,18,4,21,
206,2015.0,2018-02-17,18,58,32,39,27,17,
207,2014.0,2018-02-14,46,32,16,56,40,53,
208,2013.0,2018-02-10,6,36,53,30,56,23,
209,2012.0,2018-02-08,11,51,36,8,35,27,
210,2011.0,2018-02-06,28,35,58,54,2,32,
211,2010.0,2018-02-03,18,56,8,34,39,10,
212,2009.0,2018-01-31,1,48,50,44,37,46,
213,2008.0,2018-01-27,27,22,58,33,59,42,
214,2007.0,2018-01-24,41,14,54,4,39,58,
215,2006.0,2018-01-20,20,9,1,14,54,25,
216,2005.0,2018-01-17,22,19,33,11,53,34,
217,2004.0,2018-01-13,45,35,1,23,5,14,
218,2003.0,2018-01-10,40,50,43,28,51,34,
219,2002.0,2018-01-06,59,46,28,38,4,30,
220,2001.0,2018-01-03,22,20,52,60,42,36,
221,2000.0,2017-12-31,6,37,34,10,3,17,
222,1999.0,2017-12-21,42,38,49,15,50,37,
223,1998.0,2017-12-19,57,21,24,52,25,8,
224,1997.0,2017-12-16,14,7,35,1,31,46,
225,1996.0,2017-12-13,56,21,20,7,40,24,
226,1995.0,2017-12-09,14,37,39,26,35,29,
227,1994.0,2017-12-06,44,5,32,2,12,40,
228,1993.0,2017-12-02,50,57,48,17,6,33,
229,1992.0,2017-11-29,21,11,13,53,54,5,
230,1991.0,2017-11-25,19,34,44,36,20,28,
231,1990.0,2017-11-22,37,26,11,24,59,34,
232,1989.0,2017-11-18,40,58,30,32,15,22,
233,1988.0,2017-11-16,5,39,10,54,46,42,
234,1987.0,2017-11-11,10,58,14,45,31,34,
235,1986.0,2017-11-09,55,23,44,43,36,56,
236,1985.0,2017-11-07,9,36,29,28,34,55,
237,1984.0,2017-11-04,43,32,21,50,35,29,
238,1983.0,2017-11-01,14,22,6,5,10,36,
239,1982.0,2017-10-28,46,24,20,4,50,14,
240,1981.0,2017-10-25,15,6,39,19,37,53,
241,1980.0,2017-10-21,18,16,12,34,37,17,
242,1979.0,2017-10-19,38,23,45,32,29,22,
243,1978.0,2017-10-17,6,2,57,22,55,44,
244,1977.0,2017-10-14,28,3,32,34,37,16,
245,1976.0,2017-10-11,52,14,19,12,59,25,
246,1975.0,2017-10-07,8,24,47,26,11,57,
247,1974.0,2017-10-04,19,57,38,54,4,27,
248,1973.0,2017-09-30,17,16,60,12,52,1,
249,1972.0,2017-09-27,20,9,59,54,16,57,
250,1971.0,2017-09-23,54,10,52,41,44,4,
251,1970.0,2017-09-21,10,18,24,5,39,52,
252,1969.0,2017-09-19,30,59,20,32,8,48,
253,1968.0,2017-09-16,35,48,44,39,36,52,
254,1967.0,2017-09-13,32,39,13,54,30,46,
255,1966.0,2017-09-09,19,10,32,60,13,40,
256,1965.0,2017-09-06,28,26,55,38,48,35,
257,1964.0,2017-09-02,32,27,48,36,2,50,
258,1963.0,2017-08-30,34,60,5,4,7,42,
259,1962.0,2017-08-26,39,5,6,53,15,25,
260,1961.0,2017-08-23,50,30,25,17,32,26,
261,1960.0,2017-08-19,43,39,18,25,37,1,
262,1959.0,2017-08-16,56,43,21,8,27,35,
263,1958.0,2017-08-12,55,34,22,20,24,15,
264,1957.0,2017-08-10,23,47,29,2,14,22,
265,1956.0,2017-08-08,20,40,28,5,8,45,
266,1955.0,2017-08-05,15,41,45,33,36,27,
267,1954.0,2017-08-02,40,9,49,25,35,33,
268,1953.0,2017-07-29,45,29,42,9,43,26,
269,1952.0,2017-07-26,9,21,53,36,52,38,
270,1951.0,2017-07-22,55,14,16,21,33,19,
271,1950.0,2017-07-19,32,21,10,48,34,57,
272,1949.0,2017-07-15,30,1,14,56,22,6,
273,1948.0,2017-07-12,28,33,20,24,57,12,
274,1947.0,2017-07-08,52,59,55,40,8,33,
275,1946.0,2017-07-06,6,39,4,44,52,60,
276,1945.0,2017-07-04,8,54,21,10,45,4,
277,1944.0,2017-07-01,8,57,47,39,9,59,
278,1943.0,2017-06-28,43,11,39,9,30,12,
279,1942.0,2017-06-24,48,20,43,18,6,24,
280,1941.0,2017-06-21,38,1,9,48,49,24,
281,1940.0,2017-06-17,36,16,9,47,13,17,
282,1939.0,2017-06-14,39,29,24,52,7,45,
283,1938.0,2017-06-10,10,54,42,16,40,32,
284,1937.0,2017-06-07,10,29,24,43,6,55,
285,1936.0,2017-06-03,51,40,52,24,12,3,
286,1935.0,2017-05-31,24,17,10,1,3,23,
287,1934.0,2017-05-27,56,39,35,8,23,59,
288,1933.0,2017-05-24,15,19,35,59,14,2,
289,1932.0,2017-05-20,55,21,16,44,29,10,
290,1931.0,2017-05-17,34,8,2,15,9,22,
291,1930.0,2017-05-13,17,56,37,52,18,4,
292,1929.0,2017-05-11,10,52,23,36,3,43,
293,1928.0,2017-05-09,28,51,59,26,53,10,
294,1927.0,2017-05-06,11,5,30,31,13,19,
295,1926.0,2017-05-03,46,3,2,30,14,20,
296,1925.0,2017-04-29,47,43,38,1,17,45,
297,1924.0,2017-04-26,16,52,53,58,30,12,
298,1923.0,2017-04-22,46,34,59,45,9,42,
299,1922.0,2017-04-19,20,41,22,36,43,38,
300,1921.0,2017-04-15,19,10,16,15,28,35,
301,1920.0,2017-04-12,39,45,31,25,43,33,
302,1919.0,2017-04-08,60,28,54,37,45,11,
303,1918.0,2017-04-05,22,17,50,38,20,16,
304,1917.0,2017-04-01,4,36,25,21,46,33,
305,1916.0,2017-03-29,3,50,18,23,9,52,
306,1915.0,2017-03-25,57,21,2,33,20,48,
307,1914.0,2017-03-22,39,33,29,16,44,42,
308,1913.0,2017-03-18,14,56,52,17,4,43,
309,1912.0,2017-03-15,42,10,33,36,13,35,
310,1911.0,2017-03-11,32,16,33,23,18,30,
311,1910.0,2017-03-08,9,6,39,15,22,48,
312,1909.0,2017-03-04,47,43,45,40,57,11,
313,1908.0,2017-03-01,10,27,57,13,23,4,
314,1907.0,2017-02-25,3,48,44,35,25,38,
315,1906.0,2017-02-23,27,40,33,6,39,60,
316,1905.0,2017-02-21,43,54,29,57,35,56,
317,1904.0,2017-02-18,21,18,56,15,51,12,
318,1903.0,2017-02-15,9,43,10,15,45,28,
319,1902.0,2017-02-11,25,18,2,21,9,7,
320,1901.0,2017-02-08,30,53,26,11,37,12,
321,1900.0,2017-02-04,46,11,8,43,28,27,
322,1899.0,2017-02-01,48,35,44,23,36,20,
323,1898.0,2017-01-28,53,12,58,55,34,45,
324,1897.0,2017-01-25,52,9,58,47,22,25,
325,1896.0,2017-01-21,25,6,14,21,3,15,
326,1895.0,2017-01-18,3,5,2,34,10,15,
327,1894.0,2017-01-14,31,35,57,54,21,53,
328,1893.0,2017-01-11,17,58,45,19,28,16,
329,1892.0,2017-01-07,50,22,6,37,30,17,
330,1891.0,2017-01-04,47,1,3,19,23,58,
331,1890.0,2016-12-31,5,24,51,22,11,53,
332,1889.0,2016-12-24,30,25,23,44,28,16,
333,1888.0,2016-12-22,48,1,18,45,17,10,
334,1887.0,2016-12-20,23,56,41,46,34,11,
335,1886.0,2016-12-17,7,40,54,15,3,45,
336,1885.0,2016-12-14,59,7,18,23,32,14,
337,1884.0,2016-12-10,38,1,32,4,23,59,
338,1883.0,2016-12-07,28,59,16,47,27,60,
339,1882.0,2016-12-03,41,35,37,10,19,9,
340,1881.0,2016-11-30,30,10,53,44,3,56,
341,1880.0,2016-11-26,19,51,56,16,5,37,
342,1879.0,2016-11-23,20,58,10,59,57,5,
343,1878.0,2016-11-19,56,26,40,16,57,12,
344,1877.0,2016-11-16,35,13,32,16,24,23,
345,1876.0,2016-11-12,7,18,51,41,44,39,
346,1875.0,2016-11-10,53,45,47,1,52,55,
347,1874.0,2016-11-08,43,28,10,37,47,44,
348,1873.0,2016-11-05,25,5,53,28,41,54,
349,1872.0,2016-11-03,39,11,56,46,13,25,
350,1871.0,2016-10-29,17,58,33,52,11,3,
351,1870.0,2016-10-26,30,40,33,18,20,32,
352,1869.0,2016-10-22,11,26,24,52,40,23,
353,1868.0,2016-10-20,25,5,31,1,28,23,
354,1867.0,2016-10-18,3,43,21,17,22,10,
355,1866.0,2016-10-15,14,36,60,38,17,44,
356,1865.0,2016-10-13,42,5,32,37,1,31,
357,1864.0,2016-10-08,5,4,37,40,60,14,
358,1863.0,2016-10-05,23,45,16,58,59,56,
359,1862.0,2016-10-01,8,49,35,42,56,2,
360,1861.0,2016-09-28,45,9,60,2,35,4,
361,1860.0,2016-09-24,10,40,30,44,36,60,
362,1859.0,2016-09-22,13,26,1,21,14,51,
363,1858.0,2016-09-20,55,30,28,59,33,22,
364,1857.0,2016-09-17,53,35,52,25,23,13,
365,1856.0,2016-09-14,14,9,2,32,22,37,
366,1855.0,2016-09-10,6,38,24,39,15,10,
367,1854.0,2016-09-08,59,30,43,31,34,25,
368,1853.0,2016-09-03,2,41,39,1,34,45,
369,1852.0,2016-08-31,29,13,49,50,45,17,
370,1851.0,2016-08-27,35,22,8,37,21,18,
371,1850.0,2016-08-24,24,32,23,40,41,38,
372,1849.0,2016-08-20,35,27,3,11,44,5,
373,1848.0,2016-08-17,58,41,50,40,9,55,
374,1847.0,2016-08-13,45,1,57,49,50,6,
375,1846.0,2016-08-11,49,26,30,34,24,6,
376,1845.0,2016-08-09,9,3,29,13,30,51,
377,1844.0,2016-08-06,4,3,37,39,48,50,
378,1843.0,2016-08-03,28,26,33,41,8,54,
379,1842.0,2016-07-30,18,43,22,24,16,34,
380,1841.0,2016-07-27,6,51,13,38,49,3,
381,1840.0,2016-07-23,33,41,48,15,17,47,
382,1839.0,2016-07-20,28,32,22,56,58,7,
383,1838.0,2016-07-16,59,24,30,8,57,5,
384,1837.0,2016-07-14,41,48,57,50,44,54,
385,1836.0,2016-07-12,59,18,45,60,8,15,
386,1835.0,2016-07-09,50,36,8,28,47,58,
387,1834.0,2016-07-06,2,22,51,24,48,17,
388,1833.0,2016-07-02,2,42,3,27,16,7,
389,1832.0,2016-06-29,34,47,57,56,14,46,
390,1831.0,2016-06-25,55,15,48,32,28,27,
391,1830.0,2016-06-22,29,3,54,7,37,60,
392,1829.0,2016-06-18,53,32,30,7,24,13,
393,1828.0,2016-06-15,40,32,11,6,59,48,
394,1827.0,2016-06-11,43,33,53,26,54,42,
395,1826.0,2016-06-09,43,48,32,19,17,51,
396,1825.0,2016-06-07,21,54,10,50,51,11,
397,1824.0,2016-06-04,19,30,60,12,6,5,
398,1823.0,2016-06-01,54,34,59,21,9,4,
399,1822.0,2016-05-28,22,53,26,1,43,50,
400,1821.0,2016-05-25,53,31,19,52,36,22,
401,1820.0,2016-05-21,27,19,23,3,45,40,
402,1819.0,2016-05-18,37,26,18,30,33,17,
403,1818.0,2016-05-14,10,53,15,2,6,56,
404,1817.0,2016-05-11,47,1,26,55,39,4,
405,1816.0,2016-05-07,12,10,46,28,22,5,
406,1815.0,2016-05-05,60,8,25,39,41,11,
407,1814.0,2016-05-03,53,51,27,11,46,9,
408,1813.0,2016-04-30,51,9,13,15,19,11,
409,1812.0,2016-04-27,45,34,23,20,37,32,
410,1811.0,2016-04-23,32,37,5,35,17,57,
411,1810.0,2016-04-20,56,10,43,50,1,25,
412,1809.0,2016-04-16,23,12,54,46,9,24,
413,1808.0,2016-04-13,20,25,45,2,41,14,
414,1807.0,2016-04-09,43,15,22,1,16,25,
415,1806.0,2016-04-06,11,42,55,58,35,20,
